Wall time,Step,Value
1691713997.8702202,1084632,24.479999542236328
1691714109.2989247,1087910,23.770000457763672
1691714220.6591935,1091350,22.920000076293945
1691714336.258019,1095505,20.770000457763672
1691714451.8383853,1099459,15.270000457763672
1691714567.3697562,1103527,12.470000267028809
1691714682.9506764,1107574,9.100000381469727
1691714798.431462,1111593,3.8499999046325684
1691714913.945174,1115549,0.3499999940395355
1691715029.559767,1119562,-0.8799999952316284
1691715145.1259012,1123554,-1.909999966621399
1691715301.3220298,1128893,-5.630000114440918
1691715436.0371072,1132661,-8.390000343322754
1691715561.9272382,1136169,-6.670000076293945
1691715699.0938797,1140810,-10.010000228881836
1691715837.310987,1145189,-10.039999961853027
1691715975.5097497,1149817,-13.520000457763672
1691716086.888038,1153373,-16.09000015258789
1691716198.3502197,1156817,-15.010000228881836
1691716313.8970408,1160916,-17.299999237060547
1691716470.0613112,1166479,-17.989999771118164
1691716626.3108628,1172025,-18.350000381469727
1691716760.9577568,1176325,-16.040000915527344
1691716886.781653,1180258,-17.670000076293945
1691717012.7211804,1184290,-15.779999732971191
1691717138.5119586,1188094,-17.360000610351562
1691717278.99617,1192501,-22.309999465942383
1691717414.3779895,1197009,-24.530000686645508
1691717549.7601442,1201485,-23.09000015258789
1691717685.0219228,1205863,-19.809999465942383
1691717820.354276,1210177,-19.729999542236328
1691717929.8309915,1213398,-16.65999984741211
1691718095.3029299,1219026,-16.809999465942383
1691718216.8068335,1223073,-19.479999542236328
1691718338.2103372,1227061,-18.030000686645508
1691718470.1712763,1231591,-16.670000076293945
1691718608.3377173,1236312,-16.31999969482422
1691718746.5043526,1240997,-18.940000534057617
1691718857.8805358,1244406,-27.809999465942383
1691718973.480115,1248530,-26.989999771118164
1691719129.6627133,1254182,-26.170000076293945
1691719285.860939,1259765,-24.860000610351562
1691719420.658283,1264138,-22.90999984741211
1691719546.51563,1268001,-22.260000228881836
1691719672.3547888,1272033,-20.079999923706055
1691719798.2616904,1276206,-19.290000915527344
1691719924.817562,1280385,-21.6200008392334
1691720046.2036717,1284354,-18.790000915527344
1691720167.757911,1288416,-20.489999771118164
1691720299.7688375,1293117,-20.149999618530273
1691720437.9523437,1297942,-20.0
1691720549.3135543,1301606,-20.3799991607666
1691720660.7062016,1305380,-17.860000610351562
1691720776.2386725,1309634,-18.649999618530273
1691720932.4209492,1315194,-17.530000686645508
1691721088.5699005,1320814,-18.280000686645508
1691721223.2498446,1325469,-18.170000076293945
1691721349.1900578,1329769,-17.420000076293945
